title,slug,active_installs,relevance,review_count,avg_rating
FitVids for WordPress,fitvids-for-wordpress,8000,0,30,4.7
Premium Addons for Elementor,premium-addons-for-elementor,100000,0,284,4.9
Remove Footer Credit,remove-footer-credit,50000,0,45,4.8
Lazy Loader,lazy-loading-responsive-images,5000,0,30,4.6
ARI Fancy Lightbox &#8211; WordPress Popup,ari-fancy-lightbox,10000,0,48,4.8
Popup Builder &#8211; Responsive WordPress Pop up &#8211; Subscription &amp; Newsletter,popup-builder,100000,0,1164,4.8
SlideDeck &#8211; Responsive WordPress Slider Plugin,slidedeck,5000,0,12,4
MAS Videos,masvideos,80,1,1,5
Additional Variation Images for WooCommerce,woo-variation-gallery,6000,0,28,4.8
YouTube Embed,youtube-embed,20000,0,14,4.1
Ultimate FAQ,ultimate-faqs,30000,0,190,4.5
Free Livestream – Live Video Streaming with Hapity,wp-hapity,100,1,1,5
Insert Video with Schema.org (IVS),insert-video-with-schemaorg-ivws,200,1,3,5
Black Studio TinyMCE Widget,black-studio-tinymce-widget,700000,0,189,4.8
Foyer &#8211; Digital Signage for WordPress,foyer,1000,0,11,5
Slider by Supsystic,slider-by-supsystic,10000,0,107,4.7
Photo Video Store,photo-video-store,200,1,3,3
Automatic Featured Images from Videos,automatic-featured-images-from-videos,9000,1,24,4.6
Featured Image from URL,featured-image-from-url,40000,0,124,4.6
Wonder Slider Lite,wonderplugin-slider-lite,10000,0,18,4.3
Social Media Share Buttons &amp; Social Sharing Icons,ultimate-social-media-icons,200000,0,4630,4.9
Video Comments Webcam Recorder,video-comments-webcam-recorder,80,1,3,5
Crelly Slider,crelly-slider,20000,0,100,4.9
YouTube Video Importer Lite,yt-video-importer-lite,100,1,1,3
Gallery Box,gallery-box,2000,0,19,4.7
Event Calendar &#8211; Responsive Calendar,calendar-event,3000,0,73,4.7
WordPress Simple PayPal Shopping Cart,wordpress-simple-paypal-shopping-cart,40000,0,160,4.6
Customer Reviews for WooCommerce,customer-reviews-woocommerce,10000,0,285,4.9
Livemesh SiteOrigin Widgets,livemesh-siteorigin-widgets,30000,0,78,4.7
Mykraft Responsive Video Shortcode,mykraft-responsive-video-shortcode,100,1,1,5
Event Timeline &#8211; Vertical Timeline,rich-event-timeline,1000,0,7,4.3
Stripe Payments,stripe-payments,10000,0,28,4.7
Responsive video embed,responsive-video-embed,200,1,1,5
White Label CMS,white-label-cms,100000,0,73,4.7
Embed videos and respect privacy,video-embed-privacy,5000,1,10,4
Contact Widgets,contact-widgets,600000,0,13,4.6
Revive Old Posts &#8211; Auto Post to Social Media,tweet-old-post,50000,0,371,3.9
Yasr &#8211; Yet Another Stars Rating,yet-another-stars-rating,20000,0,198,4.7
Supaz Easy Background &#8211; Easy way to add parallax image or video background,supaz-easy-background,300,1,4,4.5
Image Photo Gallery Final Tiles Grid,final-tiles-grid-gallery-lite,30000,0,252,4.8
MainWP Child,mainwp-child,300000,0,59,4.9
Frontend Dashboard,frontend-dashboard,1000,0,99,5
Gallery Photo Video,gallery-photo-video,600,1,16,4.8
Post Gallery,simple-post-gallery,3000,0,9,4.4
Auto Last Youtube Video,auto-last-youtube-video,500,1,6,4.2
"Folders &#8211; Organize Pages, Posts and Media Library Folders with Drag and Drop",folders,8000,0,42,4.9
PickPlugins Product Slider for WooCommerce,woocommerce-products-slider,20000,0,62,4.5
Woocommerce Product Addons,woo-custom-product-addons,7000,0,62,5
WordPress Slider Plugin &#8211; WP 1 Slider,wp-1-slider,10000,0,8,4
Advanced WordPress Backgrounds,advanced-backgrounds,10000,0,15,4.9
WP Responsive Testimonials Slider And Widget,wp-responsive-testimonials-slider-and-widget,400,0,4,5
PressPermit,press-permit-core,5000,0,33,3.9
Video Posts Webcam Recorder,video-posts-webcam-recorder,100,1,6,5
Livemesh Addons for WPBakery Page Builder,addons-for-visual-composer,20000,0,28,4.1
Advanced Product Labels for WooCommerce,advanced-product-labels-for-woocommerce,7000,0,54,5
WP Videos,video-sync-for-vimeo,500,1,0,0
"Styles &amp; Layouts for Gravity Forms &#8211; Best Gravity Forms Styler, Designer",styles-and-layouts-for-gravity-forms,20000,0,59,4.3
WordPress Video Sticky,wp-video-sticky,100,1,2,4.5
Options for Twenty Seventeen,options-for-twenty-seventeen,4000,0,14,5
Advanced AJAX Product Filters,woocommerce-ajax-filters,10000,0,61,4.5
Fast Video and Image Display,fast-video-and-image-display,60,1,4,5
Maintenance,maintenance,400000,0,219,4.4
"WP-VR-view &#8211; Add Photo Sphere, 360 video to WordPress",wp-vr-view,10000,1,25,3.8
WP101,wp101,10000,0,10,4.2
a3 Lazy Load,a3-lazy-load,100000,0,110,4.3
My WP Translate,my-wp-translate,10000,0,12,5
Simple YouTube Embed,simple-youtube-embed,8000,0,12,4.4
Tutor LMS &#8211; eLearning and online course solution,tutor,700,0,10,5
Google Video Sitemap Feed With Multisite Support,google-video-sitemap-feed-with-multisite-support,7000,1,6,3
Niso Carousel Slider,niso-carousel-slider,900,0,5,5
MediaPress,mediapress,2000,0,27,4.9
HSS Embed Streaming Video,hss-embed-streaming-video,60,1,3,5
Portfolio Designer – WordPress Portfolio Plugin (Image/Video/Slider Gallery),portfolio-designer-lite,200,1,4,4
