slug,active_installs
yikes-inc-easy-custom-woocommerce-product-tabs,70000
wp-meta-and-date-remover,70000
admin-custom-login,70000
ultimate-tinymce,70000
gallery-by-supsystic,70000
slider-wd,70000
elementor-addon-widgets,70000
show-current-template,70000
wp-piwik,70000
custom-login,70000
re-add-underline-justify,70000
movabletype-importer,70000
page-or-post-clone,70000
async-javascript,70000
clearfy,60000
enhanced-text-widget,60000
query-monitor,60000
fast-velocity-minify,60000
testimonials-by-woothemes,60000
slide-anything,60000
woocommerce-menu-bar-cart,60000
wp-database-backup,60000
wp-smtp,60000
easy-table-of-contents,60000
use-google-libraries,60000
dynamic-widgets,60000
resmushit-image-optimizer,60000
genesis-responsive-slider,60000
comet-cache,60000
popups,60000
resize-image-after-upload,60000
fb-instant-articles,60000
tac,60000
ultimate-social-media-plus,60000
cache-enabler,60000
powerpress,60000
advanced-responsive-video-embedder,60000
wp-customer-reviews,60000
bwp-minify,60000
contextual-related-posts,60000
wp-live-chat-support,60000
yuzo-related-post,60000
nginx-helper,60000
mega-addons-for-visual-composer,60000
widgets-on-pages,60000
super-socializer,60000
wp-featherlight,60000
simple-image-widget,60000
leadin,60000
platinum-seo-pack,60000
font-awesome-4-menus,60000
login-logo,60000
wp-force-ssl,60000
schema,60000
remove-category-url,60000
wp-shortcode,60000
easy-digital-downloads,60000
gdpr-cookie-compliance,60000
optimus,60000
wp-rss-aggregator,60000
advanced-custom-fields-font-awesome,60000
post-grid,60000
woocommerce-checkout-manager,60000
varnish-http-purge,60000
404-to-start,60000
login-with-ajax,60000
social-pug,60000
facebook-like-box-widget,60000
navmenu-addon-for-elementor,60000
better-delete-revision,60000
wpfront-user-role-editor,60000
sitemap,60000
wp-mail-logging,60000
shapely-companion,60000
login-recaptcha,60000
mystickymenu,60000
nofollow,60000
famethemes-demo-importer,60000
amazon-associates-link-builder,60000
embed-any-document,60000
wp-paginate,60000
wp-security-scan,60000
wp-store-locator,60000
give,60000
subscribe2,60000
subscribe-to-comments,50000
wp-page-widget,50000
easy-table,50000
wp-nested-pages,50000
wp-all-export,50000
contact-form-submissions,50000
learnpress,50000
check-email,50000
hummingbird-performance,50000
addon-elements-for-elementor-page-builder,50000
accesspress-social-share,50000
easy-smooth-scroll-links,50000
woocommerce-jetpack,50000
themify-portfolio-post,50000
wp-performance-score-booster,50000
custom-twitter-feeds,50000
accesspress-social-icons,50000
breeze,50000
contact-form-7-style,50000
profile-builder,50000
facebook-conversion-pixel,50000
timthumb-vulnerability-scanner,50000
printfriendly,50000
multiple-post-thumbnails,50000
lockdown-wp-admin,50000
tweet-old-post,50000
booking,50000
lj-maintenance-mode,50000
meta-tag-manager,50000
wp-robots-txt,50000
testimonial-rotator,50000
mailchimp-forms-by-mailmunch,50000
bulk-delete,50000
easing-slider,50000
html-on-pages,50000
wp-to-twitter,50000
storefront-product-sharing,50000
advanced-iframe,50000
disable-json-api,50000
constant-contact-forms,50000
persian-woocommerce,50000
if-menu,50000
woo-order-export-lite,50000
svg-vector-icon-plugin,50000
contact-form-7-simple-recaptcha,50000
wp-mail-bank,50000
media-library-assistant,50000
seo-automatic-links,50000
file-manager,50000
intergeo-maps,50000
go-live-update-urls,50000
xserver-typesquare-webfonts,50000
eps-301-redirects,50000
adrotate,50000
pc-robotstxt,50000
what-the-file,50000
rss-importer,50000
ps-disable-auto-formatting,50000
string-locator,50000
image-watermark,50000
xcloner-backup-and-restore,50000
meteor-slides,50000
wpdiscuz,50000
wp-total-hacks,50000
contact-form-7-add-confirm,50000
wpide,50000
product-import-export-for-woo,50000
jquery-colorbox,50000
wp-product-review,50000
easy-social-icons,50000
ultimate-google-analytics,50000
widget-settings-importexport,50000
loginpress,50000
seo-redirection,50000
ocean-demo-import,50000
mollie-payments-for-woocommerce,50000
addons-for-elementor,50000
shariff,50000
public-post-preview,50000
whatshelp-chat-button,50000
mobile-menu,50000
wp-hide-post,50000
crayon-syntax-highlighter,50000
related-posts-for-wp,50000
akismet-privacy-policies,50000
woocommerce-customizer,50000
bootstrap-3-shortcodes,50000
contact-form-maker,50000
page-list,50000
responsive-add-ons,50000
olympus-google-fonts,50000
remove-footer-credit,50000
sakura-rs-wp-ssl,50000
post-thumbnail-editor,50000
advanced-wp-reset,50000
wpremote,50000
post-plugin-library,50000
simple-page-sidebars,50000
paypal-donations,50000
testimonials-widget,50000
one-page-express-companion,50000
wp-admin-ui-customize,50000
twitter,50000
safe-redirect-manager,50000
forget-about-shortcode-buttons,50000
lightbox-gallery,50000
wd-facebook-feed,50000
shortcoder,40000
google-maps-easy,40000
woo-variation-swatches,40000
woocommerce-pagseguro,40000
cherry-sidebars,40000
upload-max-file-size,40000
wp-updates-notifier,40000
lightweight-social-icons,40000
vk-all-in-one-expansion-unit,40000
animate-it,40000
duplicate-menu,40000
custom-field-suite,40000
gallery-plugin,40000
tidio-live-chat,40000
widgets-for-siteorigin,40000
stop-spammer-registrations-plugin,40000
simple-facebook-plugin,40000
ultimate-category-excluder,40000
no-page-comment,40000
modula-best-grid-gallery,40000
rest-api,40000
ajax-load-more,40000
contact-form-builder,40000
woocommerce-germanized,40000
xml-sitemaps-for-videos,40000
pixabay-images,40000
ssh-sftp-updater-support,40000
regenerate-thumbnails-advanced,40000
facebook-by-weblizar,40000
woocommerce-shortcodes,40000
syntaxhighlighter,40000
secure-wordpress,40000
wc-shortcodes,40000
content-aware-sidebars,40000
woocommerce-table-rate-shipping,40000
ag-custom-admin,40000
pinterest-pin-it-button-on-image-hover-and-post,40000
companion-auto-update,40000
hide-featured-image,40000
coming-soon-maintenance-mode-from-acurax,40000
variation-swatches-for-woocommerce,40000
ultimate-responsive-image-slider,40000
live-composer-page-builder,40000
exploit-scanner,40000
uber-login-logo,40000
ckeditor-for-wordpress,40000
icegram,40000
editorial-calendar,40000
ultimate-addons-for-gutenberg,40000
brizy,40000
simple-social-buttons,40000
wp-seopress,40000
bootstrap-for-contact-form-7,40000
robo-gallery,40000
advanced-wp-columns,40000
open-external-links-in-a-new-window,40000
event-organiser,40000
genesis-simple-sidebars,40000
simple-map,40000
ditty-news-ticker,40000
wp-downgrade,40000
easy-testimonials,40000
to-top,40000
fv-wordpress-flowplayer,40000
compact-wp-audio-player,40000
user-access-manager,40000
wp-limit-login-attempts,40000
smartcrawl-seo,40000
affilinet-performance-module,40000
calculated-fields-form,40000
link-juice-keeper,40000
contact-form-7-success-page-redirects,40000
wp-hide-security-enhancer,40000
nivo-slider-lite,40000
gdpr,40000
cookies-for-comments,40000
posts-in-page,40000
wp-seo-structured-data-schema,40000
gwolle-gb,40000
wp-analytify,40000
envato-elements,40000
my-custom-functions,40000
accesspress-social-counter,40000
wp-htaccess-editor,40000
visitors-traffic-real-time-statistics,40000
easy-video-player,40000
amazon-s3-and-cloudfront,40000
remove-dashboard-access-for-non-admins,40000
genesis-simple-share,40000
yith-woocommerce-catalog-mode,40000
cf7-widget-elementor,40000
wp-external-links,40000
woocommerce-currency-switcher,40000
header-footer-code-manager,40000
ip-geo-block,40000
meks-smart-social-widget,40000
gmap-embed,40000
jquery-updater,40000
advanced-database-cleaner,40000
wp-logo-showcase-responsive-slider-slider,40000
sidebar-login,40000
html-editor-syntax-highlighter,40000
captcha-code-authentication,40000
get-the-image,40000
simple-author-box,40000
wp-translitera,40000
no-self-ping,40000
wp-parsidate,40000
oh-add-script-header-footer,40000
advanced-cf7-db,40000
post-tags-and-categories-for-pages,40000
analytics-counter,40000
amazon-web-services,40000
smart-youtube,40000
speed-booster-pack,40000
redis-cache,40000
homepage-control,40000
smtp-mailer,40000
woocommerce-delivery-notes,40000
advanced-nocaptcha-recaptcha,40000
team-members,40000
scroll-back-to-top,40000
multi-device-switcher,40000
wordpress-simple-paypal-shopping-cart,40000
tabby-responsive-tabs,40000
custom-post-template,40000
insta-gallery,40000
woocommerce-correios,40000
media-file-renamer,40000
404-redirection,40000
protect-wp-admin,40000
blogvault-real-time-backup,40000
woocommerce-extra-checkout-fields-for-brazil,40000
raw-html,40000
json-api,40000
display-php-version,40000
floating-social-media-icon,40000
spiderblocker,40000
wp-staging,40000
hide-admin-bar,40000
shapepress-dsgvo,40000
a2-optimized-wp,40000
yandex-metrika,30000
carousel-slider,30000
ajax-search-lite,30000
facebook-auto-publish,30000
livemesh-siteorigin-widgets,30000
wp-subscribe,30000
feedwordpress,30000
remove-google-fonts-references,30000
wp-copyprotect,30000
configure-smtp,30000
visualizer,30000
pixel-caffeine,30000
cmp-coming-soon-maintenance,30000
wp-content-copy-protection,30000
wp-table-reloaded,30000
jquery-smooth-scroll,30000
erident-custom-login-and-dashboard,30000
html-sitemap,30000
post-snippets,30000
modal-for-elementor,30000
wp-seo-qtranslate-x,30000
metronet-profile-picture,30000
wp-fail2ban,30000
disable-feeds,30000
leaflet-maps-marker,30000
comments-from-facebook,30000
awesome-weather,30000
simple-membership,30000
facebook-page-feed-graph-api,30000
elementor-templater,30000
