title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
WP-Parsi JW Player,wp-parsi-jwplayer,21.8,5.7,300,10,1,1.1,3,5.0,5.0
10Web Social Feed for Instagram,wd-instagram-feed,21.77,11.29,80000,0,0,5.68,293,4.8,4.8
video carousel slider with lightbox,wp-responsive-video-gallery-with-lightbox,21.71,6.91,1000,10,1,1.1,3,3.7,3.7
Video Destacado,video-destacado,21.69,5.3,200,10,1,1.39,4,5.0,5.0
InfiniteWP Client,iwp-client,21.67,12.61,300000,0,0,4.66,106,4.4,4.4
Pods &#8211; Custom Content Types and Fields,pods,21.630000000000003,11.16,70000,0,0,5.57,262,4.9,4.9
List category posts,list-category-posts,21.63,11.51,100000,0,0,5.42,226,4.7,4.7
Supaz Easy Background &#8211; Easy way to add parallax image or video background,supaz-easy-background,21.59,5.7,300,10,1,1.39,4,4.5,4.5
MainWP Child,mainwp-child,21.589999999999996,12.61,300000,0,0,4.08,59,4.9,4.9
Translate WP website &#8211; Weglot Translate,weglot,21.560000000000002,9.9,20000,0,0,6.76,864,4.9,4.9
Brid Video Easy Publish,brid-video-easy-publish,21.509999999999998,5.7,300,10,1,1.61,5,4.2,4.2
S3Bubble WordPress Video Streaming,s3bubble-amazon-web-services-oembed-media-streaming-support,21.490000000000002,5.99,400,10,1,2.2,9,3.3,3.3
Social Media Flying Icons | Floating Social Media Icon,floating-social-media-icon,21.46,10.31,30000,0,0,6.35,575,4.8,4.8
YouTube FancyBox,youtubefancybox,21.46,6.21,500,10,1,1.95,7,3.3,3.3
Page scroll to id,page-scroll-to-id,21.450000000000003,11.51,100000,0,0,5.04,154,4.9,4.9
NextScripts: Social Networks Auto-Poster,social-networks-auto-poster-facebook-twitter-g,21.45,11.51,100000,0,0,6.24,511,3.7,3.7
Post SMTP Mailer/Email Log,post-smtp,21.42,11.51,100000,0,0,4.91,136,5.0,5.0
Insert Video with Schema.org (IVS),insert-video-with-schemaorg-ivws,21.400000000000002,5.3,200,10,1,1.1,3,5.0,5.0
Webcam 2Way Videochat,webcam-2way-videochat,21.400000000000002,5.3,200,10,1,1.1,3,5.0,5.0
DSGVO Youtube,dsgvo-youtube,21.400000000000002,5.3,200,10,1,1.1,3,5.0,5.0
Video Posts Webcam Recorder,video-posts-webcam-recorder,21.4,4.61,100,10,1,1.79,6,5.0,5.0
Booking Calendar,booking,21.4,10.82,50000,0,0,5.88,359,4.7,4.7
FA Video Popup,fa-video-popup,21.39,5.7,300,10,1,0.69,2,5.0,5.0
Fluid Player,fluid-player,21.39,5.99,400,10,1,1.1,3,4.3,4.3
WP RSS Aggregator,wp-rss-aggregator,21.32,11.0,60000,0,0,5.92,374,4.4,4.4
Paid Memberships Pro,paid-memberships-pro,21.27,11.29,80000,0,0,5.78,323,4.2,4.2
Custom Login Page Customizer | LoginPress,loginpress,21.240000000000002,11.0,60000,0,0,5.44,231,4.8,4.8
Advanced Youtube Channel Pagination,advanced-youtube-channel-pagination,21.22,4.61,100,10,1,1.61,5,5.0,5.0
Data Tables Generator by Supsystic,data-tables-generator-by-supsystic,21.21,10.31,30000,0,0,6.0,402,4.9,4.9
PPV Live Webcams &#8211; Paid Videochat,ppv-live-webcams,21.21,4.61,100,10,1,2.2,9,4.4,4.4
Custom Twitter Feeds,custom-twitter-feeds,21.21,11.0,60000,0,0,5.31,203,4.9,4.9
Master Slider &#8211; Responsive Touch Slider,master-slider,21.19,11.51,100000,0,0,5.38,216,4.3,4.3
