title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
iThemes Sync,ithemes-sync,17.39,11.29,80000,0,0,1.1,3,5.0,5.0
"ProfileGrid &#8211; User Profiles, Groups and Communities",profilegrid-user-profiles-groups-and-communities,17.37,8.29,4000,0,0,4.28,72,4.8,4.8
Post to Social Media &#8211; WordPress to Buffer,wp-to-buffer,17.36,8.99,8000,0,0,3.97,53,4.4,4.4
Livemesh Addons for WPBakery Page Builder,addons-for-visual-composer,17.34,9.9,20000,0,0,3.33,28,4.1,4.1
Store Toolkit for WooCommerce,woocommerce-store-toolkit,17.31,9.21,10000,0,0,3.3,27,4.8,4.8
Psychological tests &amp; quizzes,wp-testing,17.28,8.01,3000,0,0,4.48,88,4.8,4.8
Login-Logout,login-logout,17.28,9.1,9000,0,0,3.18,24,5.0,5.0
User Activity Log,user-activity-log,17.22,9.21,10000,0,0,3.71,41,4.3,4.3
Advanced Gutenberg,advanced-gutenberg,17.21,9.21,10000,0,0,3.5,33,4.5,4.5
Meks Smart Social Widget,meks-smart-social-widget,17.21,10.6,40000,0,0,1.61,5,5.0,5.0
Active Directory Integration / LDAP Integration,ldap-login-for-intranet-sites,17.2,8.52,5000,0,0,3.78,44,4.9,4.9
WP Config File Editor,wp-config-file-editor,17.18,9.21,10000,0,0,3.37,29,4.6,4.6
Business Profile,business-profile,17.15,9.21,10000,0,0,3.04,21,4.9,4.9
WP Custom Admin Interface,wp-custom-admin-interface,17.15,8.85,7000,0,0,3.5,33,4.8,4.8
Page Builder Gutenberg Blocks – CoBlocks,coblocks,17.14,8.7,6000,0,0,3.74,42,4.7,4.7
Responsive Poll,poll-wp,17.09,8.52,5000,0,0,3.87,48,4.7,4.7
PeepSo &#8211; User Profile and Social Networking Plugin,peepso-core,17.05,8.01,3000,0,0,4.64,104,4.4,4.4
WP LinkedIn Auto Publish,wp-linkedin-auto-publish,17.03,8.52,5000,0,0,3.61,37,4.9,4.9
WP Display Header,wp-display-header,17.01,9.21,10000,0,0,3.3,27,4.5,4.5
Social Articles,social-articles,16.99,8.29,4000,0,0,3.89,49,4.8,4.8
Upload Larger Plugins,upload-larger-plugins,16.98,9.21,10000,0,0,2.77,16,5.0,5.0
SAML SP Single Sign On &#8211; SSO,miniorange-saml-20-single-sign-on,16.98,8.01,3000,0,0,3.97,53,5.0,5.0
Rate my Post &#8211; WP Post Rating,rate-my-post,16.96,8.29,4000,0,0,3.76,43,4.9,4.9
Constant Contact Forms by MailMunch,constant-contact-forms-by-mailmunch,16.95,8.99,8000,0,0,3.76,43,4.2,4.2
Author Avatars List,author-avatars,16.95,8.85,7000,0,0,3.3,27,4.8,4.8
Crisp Live Chat,crisp,16.91,9.21,10000,0,0,3.0,20,4.7,4.7
Auction Nudge &#8211; Your eBay on Your Site,auction-nudge,16.9,8.01,3000,0,0,4.09,60,4.8,4.8
AnyComment,anycomment,16.89,7.6,2000,0,0,4.29,73,5.0,5.0
Team,tlp-team,16.88,8.85,7000,0,0,3.53,34,4.5,4.5
WordPress Follow Buttons Plugin – AddThis,addthis-follow,16.88,9.21,10000,0,0,3.47,32,4.2,4.2
Email Verification / SMS Verification / OTP Verification,miniorange-otp-verification,16.88,8.01,3000,0,0,4.37,79,4.5,4.5
User Login History,user-login-history,16.88,9.21,10000,0,0,2.77,16,4.9,4.9
PublishPress &#8211; Professional publishing tools for WordPress,publishpress,16.87,7.6,2000,0,0,4.37,79,4.9,4.9
Bogo,bogo,16.85,8.85,7000,0,0,3.5,33,4.5,4.5
Team Showcase,team,16.82,8.99,8000,0,0,3.83,46,4.0,4.0
MailChimp User Sync,mailchimp-sync,16.78,9.21,10000,0,0,2.77,16,4.8,4.8
Magic Embeds,wp-embed-facebook,16.77,9.21,10000,0,0,3.66,39,3.9,3.9
Social Sharing Toolkit,social-sharing-toolkit,16.75,9.21,10000,0,0,4.64,104,2.9,2.9
WC &#8211; APG Weight Shipping,woocommerce-apg-weight-and-postcodestatecountry-shipping,16.71,8.7,6000,0,0,3.61,37,4.4,4.4
ImageMagick Engine,imagemagick-engine,16.7,9.9,20000,0,0,2.2,9,4.6,4.6
Uncanny LearnDash Toolkit,uncanny-learndash-toolkit,16.7,9.21,10000,0,0,2.89,18,4.6,4.6
Easy Profile Widget,easy-profile-widget,16.7,7.6,2000,0,0,4.3,74,4.8,4.8
bbPress Notify (No Spam),bbpress-notify-nospam,16.68,8.52,5000,0,0,3.26,26,4.9,4.9
YouTube Embed,youtube-embed,16.64,9.9,20000,0,0,2.64,14,4.1,4.1
Showeblogin Like Share Box Plugin,showeblogin-facebook-page-like-box,16.62,8.01,3000,0,0,3.71,41,4.9,4.9
MobiLoud &#8211; WordPress Mobile App &#8211; Convert your WordPress Website to Native Mobile Apps,mobiloud-mobile-app-plugin,16.62,7.6,2000,0,0,4.62,101,4.4,4.4
WP-Lister Lite for eBay,wp-lister-for-ebay,16.61,8.52,5000,0,0,3.69,40,4.4,4.4
CommentLuv,commentluv,16.61,9.21,10000,0,0,3.0,20,4.4,4.4
BadgeOS,badgeos,16.6,9.21,10000,0,0,3.89,49,3.5,3.5
AnsPress &#8211; Question and answer,anspress-question-answer,16.6,8.29,4000,0,0,4.41,82,3.9,3.9
Application Passwords,application-passwords,16.6,9.1,9000,0,0,2.89,18,4.6,4.6
WP-Recall,wp-recall,16.59,8.52,5000,0,0,3.97,53,4.1,4.1
Delete Me,delete-me,16.59,8.85,7000,0,0,2.83,17,4.9,4.9
Invite Anyone,invite-anyone,16.58,8.99,8000,0,0,3.09,22,4.5,4.5
Filenames to latin,filenames-to-latin,16.58,9.21,10000,0,0,2.56,13,4.8,4.8
Testimonial – Best Testimonial Slider Plugin for WordPress,testimonial-free,16.57,9.21,10000,0,0,3.26,26,4.1,4.1
Event Espresso 4 Decaf &#8211; Event Registration Event Ticketing,event-espresso-decaf,16.55,7.6,2000,0,0,4.64,104,4.3,4.3
Schema App Structured Data,schema-app-structured-data-for-schemaorg,16.54,9.21,10000,0,0,3.33,28,4.0,4.0
AMO Team Showcase,amo-team-showcase,16.53,8.99,8000,0,0,2.94,19,4.6,4.6
VK All in One Expansion Unit,vk-all-in-one-expansion-unit,16.51,10.82,50000,0,0,0.69,2,5.0,5.0
WP Add-on for Facebook Comments,gs-facebook-comments,16.51,9.21,10000,0,0,2.3,10,5.0,5.0
Frontend Dashboard,frontend-dashboard,16.5,6.91,1000,0,0,4.6,99,5.0,5.0
Twitter,twitter,16.5,10.6,40000,0,0,3.4,30,2.5,2.5
"Social Feed | Facebook Feed, Instagram Feed, Twitter Feed, Pinterest and VK",wp-social-feed,16.5,8.7,6000,0,0,3.5,33,4.3,4.3
Drift,drift,16.5,9.9,20000,0,0,2.2,9,4.4,4.4
WP Term Order,wp-term-order,16.49,8.85,7000,0,0,2.83,17,4.8,4.8
Web to Print Online Designer,web-to-print-online-designer,16.49,7.6,2000,0,0,3.99,54,4.9,4.9
All Meta Tags,all-meta-tags,16.48,9.9,20000,0,0,2.08,8,4.5,4.5
"WordPress Robots.txt optimization (+ Multisite) – Website traffic, ranking &amp; SEO Booster + Woocommerce",better-robots-txt,16.48,8.29,4000,0,0,3.58,36,4.6,4.6
Microblog Poster &#8211; Auto Publish on Social Media,microblog-poster,16.45,8.85,7000,0,0,3.89,49,3.7,3.7
WP Private Content Plus,wp-private-content-plus,16.45,9.1,9000,0,0,3.04,21,4.3,4.3
Shoppable galleries for Instagram by Snapppt,shop-feed-for-instagram-by-snapppt,16.43,9.21,10000,0,0,3.22,25,4.0,4.0
AGP Font Awesome Collection,agp-font-awesome-collection,16.42,9.21,10000,0,0,2.71,15,4.5,4.5
Float menu &#8211; awesome floating side menu,float-menu,16.41,9.21,10000,0,0,2.2,9,5.0,5.0
Login Widget With Shortcode,login-sidebar-widget,16.41,9.21,10000,0,0,3.3,27,3.9,3.9
Meks Smart Author Widget,meks-smart-author-widget,16.4,10.31,30000,0,0,1.79,6,4.3,4.3
AccessPress Social Login Lite &#8211; Social Login WordPress Plugin,accesspress-social-login-lite,16.38,9.21,10000,0,0,3.37,29,3.8,3.8
